id,code,name
1151,21,PLATEIA KANIGKOS - GKIZI
821,22,NEA KYPSELI - MARASLEIOS
750,24,AG. ANARGYROI - ST. KATO PATHSIA
817,25,IPPOKRATOUS - PROFITI DANIIL
818,26,IPPOKRATOUS - VOTANIKOS
974,27,IPPOKRATOUS - ORFEOS
1113,32,GOUDI-MARASLIOS
816,35,ANO KYPSELI - PETRALONA - TAVROS
804,36,KATECHAKI - KYPSELI
1219,36,KATECHAKI - KYPSELI
1220,36,KATECHAKI - KYPSELI
938,40,PEIRAIAS - SINTAGMA
831,46,MOUSEIO - ELLINOROSON
819,49,PEIRAIAS - OMONOIA
1180,51,OMONOIA - ST. YPERAST. LEOF. KIFISOU
868,54,PERISSOS - AKADIMIA METAMORFOSI
824,57,OMONOIA - LOFOS SKOUZE
825,60,MOUSEIO - AKADIMIA - LYKAVITTOS
1069,1,PLATEIA ATTIKIS - TZITZIFIES - MOSCHATO
1077,10,TZITZIFIES - XALANDRI
